time,av_autocorr,av_autocorr_echo,sqrt_av_autocorr_echo,forward_upper_env,forward_lower_env,echo_upper_env,echo_lower_env,sqrt_echo_upper_env,sqrt_echo_lower_env
0,0.685546875,0.751953125,0.8671523078444755,0.685546875,0.42449745958467766,0.751953125,0.7136664895156402,,
1,-0.337890625,0.607421875,0.7793727445837454,0.5652583748567976,-0.337890625,0.6304654254723685,0.6060752667771447,,
2,-0.17578125,0.46484375,0.6817945071647321,0.45725197932441963,-0.5922703849391076,0.5264640633244322,0.46484375,,
3,0.357421875,0.349609375,0.5912777477632657,0.3649947703252774,-0.6068319717812426,0.4372499926301051,0.349609375,,
4,-0.419921875,0.33203125,0.5762215285808054,0.2995556274877287,-0.4207009413252077,0.36336710717110077,0.30715894916640324,,
5,0.2578125,0.29296875,0.5412658773652742,0.26833103204078057,-0.21466865192753465,0.30318497683474555,0.2497119699907882,,
6,-0.0546875,0.193359375,0.4397264774834465,0.26914642182602594,-0.09166877261033271,0.25504733713781597,0.193359375,,
7,0.0,0.21484375,0.46351240544347894,0.28270695300995285,-0.08002962208597103,0.21729792359708872,0.15394857171146864,,
8,0.29296875,0.18359375,0.42847841252506524,0.29296875,-0.1373641022947512,0.1882804717293407,0.12067539253649613,,
9,-0.2109375,0.103515625,0.3217384419058438,0.2484211206248138,-0.2109375,0.16633871705134862,0.09473311267013758,,
10,0.1875,0.076171875,0.27599252707274524,0.1875,-0.19772517291016867,0.1498163950798892,0.07414149422503397,,
11,-0.041015625,0.060546875,0.2460627460628691,0.09493791355518993,-0.1652140561648166,0.13705724133173924,0.056920535772992054,,
12,-0.123046875,0.0546875,0.23385358667337133,0.013705115820127938,-0.13350103896377807,0.12640499132367544,0.04111131682525053,,
13,-0.05078125,0.025390625,0.15934435979977452,-0.03598216287266943,-0.12757057671531216,0.11620346433593287,0.025125476472899443,,
14,-0.140625,0.087890625,0.29646353064078557,-0.04100307324754232,-0.140625,0.10480394737529301,0.009258133247389319,,
15,-0.015625,0.091796875,0.3029799910885206,-0.012947046143068373,-0.13810617859427296,0.091796875,-0.002855489690155367,,
16,-0.123046875,-0.009765625,,0.027273182634885092,-0.123046875,0.0730268628985187,-0.009765625,,
17,0.068359375,0.052734375,0.22963966338592295,0.068359375,-0.06878390090106039,0.052734375,-0.0027230201368311857,,
18,0.04296875,0.00390625,0.0625,0.0924598882587755,-0.021051593162231395,0.03197192540762697,0.00043926081061232197,,
19,0.013671875,0.013671875,0.11692679333668567,0.10497468907454252,0.00030484132941293197,0.016723886748519712,-0.005618577845341902,,
20,0.10546875,0.001953125,0.04419417382415922,0.10546875,-0.014565443296056118,0.010752150009766776,-0.02015518514476365,,
21,-0.048828125,0.0,0.0,0.08166807934599418,-0.048828125,0.013246569725242473,-0.03686186765488871,,
22,0.0546875,-0.0234375,,0.055541140961435885,-0.05322817355223708,0.02057761986768509,-0.04839190774549254,,
23,-0.046875,-0.052734375,,0.030917889516918703,-0.046875,0.028574085800621013,-0.052734375,,
24,-0.01953125,0.03515625,0.1875,0.012024195503752048,-0.027355876038247275,0.03515625,-0.03714056540561465,,
25,-0.001953125,0.005859375,0.07654655446197431,0.0003560709189658983,-0.017756127203962455,0.03231956638764938,-0.024880066855689352,,
26,-0.021484375,-0.01953125,,-0.0030416819108603083,-0.027803248756514944,0.02569597029400082,-0.025552353849355523,,
27,0.0,0.015625,0.125,0.00301170749590979,-0.04815136929285452,0.015625,-0.03925833923145841,,
28,-0.060546875,-0.0546875,,0.019165025174552743,-0.060546875,0.0022362859870433717,-0.0546875,,
29,0.044921875,-0.01171875,,0.044921875,0.018665582152652748,-0.008047107949569381,-0.02224014550821411,,
