time,av_autocorr,av_autocorr_echo,sqrt_av_autocorr_echo,forward_upper_env,forward_lower_env,echo_upper_env,echo_lower_env,sqrt_echo_upper_env,sqrt_echo_lower_env
0,0.73828125,0.708984375,0.8420120990817175,0.73828125,0.3764998425342271,0.708984375,0.6906935522492422,0.8420120990817175,0.8323147127959383
1,-0.701171875,0.6640625,0.8149003006503311,0.7202220866659856,-0.701171875,0.6640625,0.6393764998731313,0.8149003006503311,0.8039372297749785
2,0.677734375,0.60546875,0.7781187248742958,0.677734375,-0.7520807529774366,0.6070790483464494,0.5737615331422132,0.7787123536677916,0.7638888872042977
3,-0.609375,0.5546875,0.7447734554883115,0.6118681147948792,-0.6499758147430683,0.5546875,0.5099866970057519,0.7447734554883115,0.7202363397863109
4,0.5546875,0.49609375,0.7043392293490403,0.5650185811696544,-0.5563497824865333,0.4993927012376611,0.44985039922104963,0.7061469838232385,0.6749397779403825
5,-0.56640625,0.451171875,0.6716932893813962,0.5443433109826179,-0.56640625,0.4516074519947505,0.39409123057035456,0.6716932893813962,0.6295069323531841
6,0.537109375,0.341796875,0.5846339666834284,0.537109375,-0.5555454748067289,0.40909862917239415,0.341796875,0.6390025555475596,0.5846339666834284
7,-0.521484375,0.37109375,0.6091746465505602,0.5023627629411836,-0.521484375,0.3748849527717155,0.29860826165845966,0.6119376996049877,0.5442417933174858
8,0.462890625,0.3515625,0.5929270612815711,0.4659168597264548,-0.46526757660493107,0.3515625,0.26033645189099663,0.5929270612815711,0.50741420155024
9,-0.41796875,0.287109375,0.5358258812338202,0.4353931001712893,-0.4284535529050697,0.3141770951787233,0.22934548966502488,0.5604622150495893,0.4764593941304366
10,0.412109375,0.21875,0.46770717334674267,0.4131365401984679,-0.41924443090690544,0.28606495024884615,0.2063376979697718,0.5349999184286497,0.45284949610845154
11,-0.42578125,0.189453125,0.4352621336620037,0.39661437266824273,-0.42578125,0.26307658919337445,0.189453125,0.5129509908032459,0.4352621336620037
12,0.384765625,0.2421875,0.4921254921257382,0.3870027395362259,-0.41098688036844394,0.24266735909961162,0.18334317581644927,0.49235657361862173,0.4287803177053625
13,-0.388671875,0.21484375,0.46351240544347894,0.3804010536342347,-0.388671875,0.22359156104276742,0.17602540214681875,0.4722010912771344,0.42010248339304584
14,0.369140625,0.166015625,0.40745015032516557,0.369140625,-0.35633133384453236,0.20360269740103953,0.1628258737319171,0.45039750471766166,0.4032010308199901
15,-0.32421875,0.181640625,0.426193178030808,0.32289865729792366,-0.32579899841398585,0.181640625,0.14056376848463698,0.426193178030808,0.3736727632532525
16,0.279296875,0.138671875,0.37238672774415577,0.2898882386429607,-0.30103985456494026,0.15296415333851313,0.1133127743721482,0.3926719151860017,0.33503151588937913
17,-0.283203125,0.0859375,0.29315098498896436,0.28170887837467407,-0.28681158360816394,0.12529842857954177,0.0859375,0.3560639946838008,0.29315098498896436
18,0.2890625,0.099609375,0.3156095293238149,0.2890625,-0.28182198476875964,0.10287005575478642,0.07094048848895762,0.3210002492495336,0.25894308342780026
19,-0.279296875,0.087890625,0.29646353064078557,0.27149658045429836,-0.279296875,0.08914757946093904,0.059110443485088024,0.29646353064078557,0.22959486208590774
20,0.248046875,0.076171875,0.27599252707274524,0.2494250504061601,-0.2553183010149641,0.08236806196542569,0.04810665907637811,,
21,-0.2265625,0.03515625,0.1875,0.2288731477444394,-0.22700067803144833,0.08282622824068277,0.032847915685956325,,
22,0.212890625,0.087890625,0.29646353064078557,0.21377690000867544,-0.1996744627751979,0.08860210960739312,0.010878999591110326,,
23,-0.177734375,-0.015625,,0.20162853475177628,-0.18203992253623394,0.09678880498570089,-0.015625,,
24,0.189453125,0.10546875,0.3247595264191645,0.18963637689372204,-0.17701898025101503,0.10546875,-0.0411163333300891,,
25,-0.1796875,0.08984375,0.29973947020704494,0.18268374988144698,-0.1796875,0.10820897779362341,-0.06058469963358184,,
26,0.1875,0.05859375,0.24206145913796356,0.19247420746460558,-0.18077337619206169,0.10493023652464883,-0.06828226650052022,,
27,-0.1796875,0.052734375,0.22963966338592295,0.19522794339917404,-0.1796875,0.0912889813571616,-0.0586544851331583,0.22963966338592295,0.15816869059324723
28,0.16015625,0.046875,0.21650635094610965,0.16015625,-0.17056033829966094,0.06496490893515827,-0.02755225818288578,0.21650635094610965,0.15877436737554773
29,-0.158203125,0.025390625,0.15934435979977452,-0.0778183453640619,-0.16174283994965402,0.03661233628114994,0.010072678270998722,0.1738080965567831,0.15920921965638193
