time,av_autocorr,av_autocorr_echo,sqrt_av_autocorr_echo,forward_upper_env,forward_lower_env,echo_upper_env,echo_lower_env,sqrt_echo_upper_env,sqrt_echo_lower_env
0,0.732421875,0.736328125,0.8580956386091239,0.732421875,0.4614937623852932,0.736328125,0.696221240447941,0.8580956386091239,0.8326885230967662
1,-0.3515625,0.607421875,0.7793727445837454,0.26978258593641313,-0.3515625,0.6313534938871398,0.58783705460162,0.792767414360841,0.7624145519907441
2,0.005859375,0.537109375,0.7328774624724109,0.07389787903647974,-0.29339627211751496,0.537109375,0.4625286603562866,0.7328774624724109,0.6756872296844278
3,-0.08984375,0.3515625,0.5929270612815711,0.10439994094444931,-0.14091578263468876,0.4423500130913186,0.3515625,0.6623939578045898,0.5929270612815711
4,0.072265625,0.35546875,0.596212000885591,0.2435175189390825,-0.052521121075166086,0.3597589240430872,0.2721421433526906,0.5977215766237332,0.5210467493572307
5,0.400390625,0.2890625,0.5376453291901642,0.400390625,-0.10103638069463887,0.28927964631349157,0.20466713263859243,0.5376453291901642,0.4536172445818806
6,-0.197265625,0.201171875,0.44852187795022885,0.4009999214758949,-0.197265625,0.22610195444775943,0.15223081826427115,0.4787545911324963,0.3920341904806106
7,0.36328125,0.16015625,0.40019526483955303,0.36328125,-0.1531425547260775,0.1756804110071754,0.1122343332547597,0.4254157329366715,0.3357233686731546
8,-0.0859375,0.080078125,0.2829807855667943,0.2854612883426688,-0.09768575416049417,0.13947764133771853,0.080078125,0.37858930965283394,0.2829807855667943
9,0.212890625,0.11328125,0.3365728004459065,0.22013781424116108,-0.06188649065358452,0.11684564846834483,0.05750789704831317,0.33876139635397956,0.23521809097357652
10,-0.052734375,0.03515625,0.1875,0.17631410937751402,-0.052734375,0.10531664879768973,0.03445228690790944,,
11,0.048828125,0.072265625,0.2688226645950821,0.15322273446982293,-0.04731274634252228,0.09753921574077773,0.011131935752500925,,
12,0.12109375,0.087890625,0.29646353064078557,0.14263345954447382,-0.03936142158989022,0.087890625,-0.007134387898901075,,
13,0.13671875,-0.017578125,,0.13671875,-0.03236235222847639,0.0655435070269927,-0.017578125,,
14,0.111328125,0.044921875,0.21194781197266463,0.1250366291210836,-0.03256430701659538,0.04983962046465265,-0.00684655835804936,,
15,-0.041015625,0.001953125,0.04419417382415922,0.10997298107249487,-0.044857125489856015,0.046791136390303356,-0.003297156398755972,,
16,0.091796875,0.052734375,0.22963966338592295,0.09190554603741785,-0.06664932095973108,0.052734375,-0.009522007573834531,,
17,-0.08984375,-0.017578125,,0.0756615608203579,-0.08984375,0.057155695438039916,-0.017578125,,
18,0.064453125,0.060546875,0.2460627460628691,0.06967318838918762,-0.08535509389284665,0.06091249982499265,0.009028946370540985,,
19,-0.076171875,0.03515625,0.1875,0.07874905850665942,-0.07750247747172365,0.06517985960331929,0.025346932937291372,,
20,0.09765625,0.0703125,0.2651650429449553,0.09765625,-0.07101001202685739,0.0703125,0.016689591265954897,,
21,0.03125,0.0,0.0,0.11590779811608137,-0.06763773316779739,0.07413906673313168,-0.011725389250570973,,
22,0.0078125,-0.044921875,,0.1283342898085515,-0.06307319315909074,0.07495526281557519,-0.044921875,,
23,-0.017578125,0.072265625,0.2688226645950821,0.13073421867675422,-0.05191473024358928,0.072265625,-0.0493322785440625,,
24,-0.033203125,0.029296875,0.1711632992203644,0.11981684446226101,-0.033203125,0.05982498051348521,-0.04519406244839129,,
25,0.09765625,-0.03515625,,0.09765625,-0.008011543461125306,0.046446815165039,-0.036451750808584295,,
26,0.005859375,-0.013671875,,0.0567372554599794,-0.005424589602951804,0.03504374062807601,-0.028762003785590788,,
27,0.017578125,0.02734375,0.16535945694153692,0.025654041479801923,-0.025315609144172222,0.030834704319908354,-0.01652363142028617,,
28,-0.046875,0.00390625,0.0625,0.021576639118531388,-0.046875,0.03834665359848795,0.00390625,,
29,0.052734375,0.05859375,0.24206145913796356,0.052734375,0.028124787070323804,0.05859375,0.04456289859141785,,
