time,energy_p_ibm
0,-413.63112319789
1,-269.96769973074714
2,-251.5659876751428
3,-163.57366496542414
4,-162.81048083594425
5,-122.74677117724379
6,-109.19885759022918
7,-84.3456273390014
8,-97.65729846011264
9,-61.1161336657837
10,-76.75390490374733
11,-55.68262158742352
12,-55.96885223371734
13,-33.87040372005149
14,-49.03266403173766
15,-27.242199413486347
16,-45.546321476099706
17,-12.229506926471437
18,-39.4121488630297
19,-26.28259977172592
