inst1_g_values,inst1_echo_values
0.84,0.64453125
0.8577734375,0.603515625
0.87759765625,0.5625
0.89947265625,0.4453125
0.9272070312499999,0.3828125
0.95,0.3203125
0.95,0.294921875
0.95,0.244140625
0.95,0.21484375
0.95,0.205078125
0.95,0.220703125
0.95,0.12109375
0.95,0.107421875
0.95,0.08203125
0.95,0.166015625
0.95,0.080078125
0.95,0.0703125
0.95,0.0234375
0.95,0.0546875
0.95,0.083984375
