time,av_autocorr,av_autocorr_echo,sqrt_av_autocorr_echo,forward_upper_env,forward_lower_env,echo_upper_env,echo_lower_env,sqrt_echo_upper_env,sqrt_echo_lower_env
0,0.7421875,0.69140625,0.8315084184781294,0.7421875,0.5580137587263073,0.69140625,0.6615606188782046,0.8315084184781294,0.8183632893805745
1,0.01953125,0.615234375,0.7843687748756958,0.6451473540351209,0.01953125,0.615234375,0.5791452107089705,0.7843687748756958,0.7767317428241659
2,0.236328125,0.51171875,0.7153451963912248,0.5488567481588835,-0.15267608078042513,0.5137123240055506,0.47327507047622,0.7153451963912248,0.7033021845599527
3,0.451171875,0.35546875,0.596212000885591,0.4548525648498004,-0.16719383157781115,0.42318128578568975,0.35546875,0.633833262740966,0.596212000885591
4,-0.0546875,0.298828125,0.5466517401417469,0.3738620303312251,-0.06433652340979776,0.3505650687781295,0.298828125,0.5736963713660691,0.5466517401417469
5,0.306640625,0.27734375,0.5266343608235224,0.31421582119626124,0.029540402327046484,0.29344133476726847,0.24275321832590613,0.5303803276131829,0.5125901046773439
6,0.14453125,0.25,0.5,0.27802040441698805,0.069029587343534,0.25,0.18761500178683144,0.5,0.4515623295659423
7,0.06640625,0.173828125,0.41692700200394794,0.25626987990169475,0.05544099647598333,0.201402129477734,0.13869864242801705,0.44196786880463323,0.3804177934568258
8,0.23828125,0.095703125,0.30935921676911454,0.23828125,0.007758779355282108,0.1645333986135283,0.095703125,0.4008004306829904,0.30935921676911454
9,-0.05078125,0.134765625,0.3671043788897103,0.20878379237000455,-0.05078125,0.1363592390224011,0.06439212247436066,0.3679686548490003,0.24368353318031688
10,0.1796875,0.072265625,0.2688226645950821,0.1834516310399018,-0.06343951946506998,0.11401898719365366,0.03773898720878031,0.33856349778917283,0.18214396009493877
11,0.072265625,0.015625,0.125,0.16763767761235263,-0.055429342415484154,0.09648515939095553,0.015625,,
12,-0.029296875,0.08203125,0.28641098093474,0.15859644520420624,-0.029296875,0.08288797285941206,0.0021095104806705322,,
13,0.150390625,0.01171875,0.10825317547305482,0.150390625,0.006542571553286438,0.0723122484997745,-0.007657582530491864,,
14,0.0625,-0.013671875,,0.12956259922530594,0.03162276461163046,0.06375719720109084,-0.013671875,,
15,0.04296875,0.03515625,0.1875,0.10811265954847726,0.03462763373922505,0.056174575236241295,-0.012199459685509501,,
16,0.087890625,0.048828125,0.2209708691207961,0.0910304052537982,0.01526522305214914,0.048828125,-0.008228089109849856,,
17,-0.013671875,-0.001953125,,0.08262159111799003,-0.013671875,0.03969904523358876,-0.001953125,,
18,0.080078125,0.01171875,0.10825317547305482,0.080078125,0.011647652784703425,0.028971302133196486,0.006626682059960712,,
19,0.076171875,0.015625,0.125,0.07716148944124498,0.0554611953672971,0.019278650461406047,0.01325156701434638,,
