time,av_autocorr_x,av_autocorr_echo_x,sqrt_av_autocorr_echo_x,forward_upper_env_x,forward_lower_env_x,echo_upper_env_x,echo_lower_env_x,sqrt_echo_upper_env_x,sqrt_echo_lower_env_x,av_autocorr_y,av_autocorr_echo_y,sqrt_av_autocorr_echo_y,forward_upper_env_y,forward_lower_env_y,echo_upper_env_y,echo_lower_env_y,sqrt_echo_upper_env_y,sqrt_echo_lower_env_y,av_autocorr_xy,av_autocorr_echo_xy,sqrt_av_autocorr_echo_xy,forward_upper_env_xy,forward_lower_env_xy,echo_upper_env_xy,echo_lower_env_xy,sqrt_echo_upper_env_xy,sqrt_echo_lower_env_xy,av_autocorr_yx,av_autocorr_echo_yx,sqrt_av_autocorr_echo_yx,forward_upper_env_yx,forward_lower_env_yx,echo_upper_env_yx,echo_lower_env_yx,sqrt_echo_upper_env_yx,sqrt_echo_lower_env_yx
0,0.734375,0.755859375,0.8694017339527222,0.734375,0.380611204162025,0.755859375,0.7297882224694174,0.8697964825490476,0.8538493079195424,0.75,0.763671875,0.8738832158818477,0.75,0.38074690640860076,0.763671875,0.7188742001204002,0.8738832158818477,0.846595368237648,0.7421875,0.69140625,0.8315084184781294,0.7421875,0.5580137587263073,0.69140625,0.6615606188782046,0.8315084184781294,0.8183632893805745,0.716796875,0.71875,0.8477912478906585,0.716796875,0.520949552086847,0.71875,0.690972940102339,,
1,-0.669921875,0.65234375,0.8076779989575054,0.7027942533594411,-0.669921875,0.7242007625591804,0.65234375,0.8683002449941049,0.8076779989575054,-0.71875,0.591796875,0.7692833515681982,0.6759155477854638,-0.71875,0.6745295565436715,0.591796875,0.8198739204004382,0.7692833515681982,0.01953125,0.615234375,0.7843687748756958,0.6451473540351209,0.01953125,0.615234375,0.5791452107089705,0.7843687748756958,0.7767317428241659,-0.06640625,0.61328125,0.7831227553838542,0.6652223138030693,-0.06640625,0.6869481213474335,0.61328125,,
2,0.677734375,0.63671875,0.7979465834252315,0.677734375,-0.7689762258488306,0.6881915708551012,0.6277279635815536,0.8579187974527791,0.7919574750981533,0.63671875,0.595703125,0.7718180647017793,0.6438230105760765,-0.7760187265031516,0.6020379508802887,0.48014588115901546,0.7750910194478293,0.6993787056227043,0.236328125,0.51171875,0.7153451963912248,0.5488567481588835,-0.15267608078042513,0.5137123240055506,0.47327507047622,0.7153451963912248,0.7033021845599527,-0.09765625,0.51953125,0.7207851621669248,0.6019616375133716,-0.09854505225859797,0.6436536452726631,0.51953125,,
3,-0.673828125,0.583984375,0.7641887037898427,0.6473161996146397,-0.6990744337855685,0.6458257457637903,0.5673265342016571,0.8368535572263486,0.7519494797888786,-0.6328125,0.544921875,0.7381882381886072,0.6343770268916757,-0.6709984540549322,0.544921875,0.3956945547075669,0.7381882381886072,0.6450660646431179,0.451171875,0.35546875,0.596212000885591,0.4548525648498004,-0.16719383157781115,0.42318128578568975,0.35546875,0.633833262740966,0.596212000885591,0.52734375,0.4453125,0.667317390751957,0.52734375,-0.1591551359580864,0.5863334390134617,0.4258160192048298,,
4,0.609375,0.4609375,0.6789237807000135,0.609375,-0.6010211306850691,0.5988680197033829,0.4609375,0.806830678900367,0.6789237807000135,0.625,0.4453125,0.667317390751957,0.625,-0.5680622208995545,0.48941764843726787,0.3440744642984236,0.7032442138154464,0.6094973881382424,-0.0546875,0.298828125,0.5466517401417469,0.3738620303312251,-0.06433652340979776,0.3505650687781295,0.298828125,0.5736963713660691,0.5466517401417469,0.1484375,0.28515625,0.5340002340823456,0.4449253562212211,-0.15885573952192106,0.5187982632078982,0.28515625,,
5,-0.578125,0.431640625,0.656993626300895,0.5459182399757212,-0.578125,0.5487789816708857,0.42732007281329626,0.7698347511670303,0.653142174703309,-0.5703125,0.41015625,0.6404344228724749,0.5736226247933489,-0.5703125,0.4465651997725041,0.317367865300099,0.6743323713871583,0.5880164683177941,0.306640625,0.27734375,0.5266343608235224,0.31421582119626124,0.029540402327046484,0.29344133476726847,0.24275321832590613,0.5303803276131829,0.5125901046773439,-0.12109375,0.23046875,0.480071609241788,0.36638555332738,-0.129883137736009,0.4447792645224762,0.23046875,,
6,0.484375,0.376953125,0.6139650845121406,0.49221237933272255,-0.5468727830616844,0.49701560338292583,0.376953125,0.7278534295229931,0.6139650845121406,0.5234375,0.390625,0.625,0.5336668364512454,-0.5736787524967901,0.4132671658150628,0.3076162187871545,0.6498267116589592,0.5759159255672236,0.14453125,0.25,0.5,0.27802040441698805,0.069029587343534,0.25,0.18761500178683144,0.5,0.4515623295659423,0.29296875,0.216796875,0.46561451330472936,0.29739351582803164,-0.11798142194624925,0.3680066356471249,0.21214101568774674,,
7,-0.501953125,0.359375,0.5994789404140899,0.4594264288031388,-0.5020402101040266,0.4450348565561302,0.3525396985404234,0.6828743694649101,0.5933188002772543,-0.552734375,0.3671875,0.6059599821770412,0.5151941557174733,-0.552734375,0.38542099295772037,0.3068613288611914,0.6274160067312424,0.5681959364363054,0.06640625,0.173828125,0.41692700200394794,0.25626987990169475,0.05544099647598333,0.201402129477734,0.13869864242801705,0.44196786880463323,0.3804177934568258,0.11328125,0.18359375,0.42847841252506524,0.24301107810901526,-0.126939570756609,0.29221056927177347,0.17642414296244208,,
8,0.443359375,0.310546875,0.557267328128969,0.444804780899922,-0.4555922495240817,0.39429371290712556,0.310546875,0.6368852264894359,0.557267328128969,0.5078125,0.314453125,0.5607612014039488,0.5078125,-0.48060846872138596,0.3606540854615228,0.30717229211066976,0.6055929432375079,0.5603323828688378,0.23828125,0.095703125,0.30935921676911454,0.23828125,0.007758779355282108,0.1645333986135283,0.095703125,0.4008004306829904,0.30935921676911454,-0.142578125,0.21875,0.46770717334674267,0.20465368650817894,-0.142578125,0.22112378328296345,0.12478920525207862,,
9,-0.41796875,0.287109375,0.5358258812338202,0.4379087619936106,-0.4251675033863904,0.3462491441525388,0.2836825889425042,0.591873656093225,0.531971369961443,-0.412109375,0.3046875,0.5519850541454905,0.46259750969777236,-0.4245358756099794,0.3367616300221629,0.30088785972864085,0.5829314029973889,0.5490383821201186,-0.05078125,0.134765625,0.3671043788897103,0.20878379237000455,-0.05078125,0.1363592390224011,0.06439212247436066,0.3679686548490003,0.24368353318031688,0.177734375,0.072265625,0.2688226645950821,0.18136910240474435,-0.13285891504647113,0.15868270920614158,0.072265625,,
