time,energy
0,-67.01079784872125
1,-26.299204538784792
2,-47.15880029453998
3,-13.144818841582413
4,-33.1024927098698
5,-7.585365281835802
6,-21.16258717815134
7,-5.591902190442603
8,-13.859926407646784
9,-4.062727907457267
10,-8.826957762837234
11,-2.796792649613393
12,-5.680546556014118
13,-1.1075860620953584
14,-2.5025454902660025
15,-1.4088021035120735
16,-2.2839385575211444
17,-0.44291407414099093
18,-1.2296203548420859
19,0.8563922326325157
